# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
3.3440e-04 5.5104e-05 -1.3096e-05 2.1057e-05 2.1004e-05 1.0494e-01 2.0972e-01
3.3749e-04 5.7147e-05 -1.3576e-05 2.1842e-05 2.1786e-05 1.0689e-01 2.1361e-01
3.4062e-04 5.9266e-05 -1.4073e-05 2.2655e-05 2.2596e-05 1.0888e-01 2.1758e-01
3.4377e-04 6.1462e-05 -1.4588e-05 2.3499e-05 2.3437e-05 1.1091e-01 2.2163e-01
3.4695e-04 6.3740e-05 -1.5121e-05 2.4374e-05 2.4309e-05 1.1297e-01 2.2574e-01
3.5016e-04 6.6102e-05 -1.5675e-05 2.5282e-05 2.5214e-05 1.1507e-01 2.2994e-01
3.5341e-04 6.8552e-05 -1.6248e-05 2.6223e-05 2.6152e-05 1.1721e-01 2.3421e-01
3.5668e-04 7.1092e-05 -1.6842e-05 2.7200e-05 2.7125e-05 1.1939e-01 2.3856e-01
3.5998e-04 7.3725e-05 -1.7457e-05 2.8212e-05 2.8134e-05 1.2161e-01 2.4300e-01
3.6331e-04 7.6456e-05 -1.8095e-05 2.9263e-05 2.9180e-05 1.2387e-01 2.4751e-01
3.6668e-04 7.9287e-05 -1.8756e-05 3.0352e-05 3.0266e-05 1.2617e-01 2.5211e-01
3.7007e-04 8.2224e-05 -1.9442e-05 3.1482e-05 3.1391e-05 1.2852e-01 2.5679e-01
3.7350e-04 8.5268e-05 -2.0152e-05 3.2654e-05 3.2558e-05 1.3091e-01 2.6157e-01
3.7695e-04 8.8425e-05 -2.0887e-05 3.3869e-05 3.3769e-05 1.3334e-01 2.6642e-01
3.8044e-04 9.1698e-05 -2.1650e-05 3.5130e-05 3.5024e-05 1.3582e-01 2.7137e-01
3.8397e-04 9.5092e-05 -2.2440e-05 3.6437e-05 3.6326e-05 1.3835e-01 2.7642e-01
3.8752e-04 9.8612e-05 -2.3258e-05 3.7793e-05 3.7677e-05 1.4092e-01 2.8155e-01
3.9111e-04 1.0226e-04 -2.4106e-05 3.9199e-05 3.9077e-05 1.4354e-01 2.8678e-01
3.9473e-04 1.0604e-04 -2.4985e-05 4.0657e-05 4.0530e-05 1.4621e-01 2.9211e-01
3.9838e-04 1.0997e-04 -2.5896e-05 4.2170e-05 4.2036e-05 1.4893e-01 2.9754e-01
