#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.140790e-06 1.108941e+02 1.108941e+02 6.265595e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.635373e-10 2.455945e-09 2.860966e-07 -2.397376e-14 4.421062e+02 3.491373e+04 6.513328e+02 -2.532931e-04 -2.338941e-03 -1.049969e-02 -5.829698e-03 1.560171e-03 2.769025e-03 4.258032e-03 1.263141e-08 9.825939e-09 1.946078e-09
1.144210e-06 1.108941e+02 1.108941e+02 6.294332e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.654547e-10 2.468139e-09 2.868254e-07 -2.414778e-14 4.418926e+02 3.488007e+04 6.509021e+02 -2.538056e-04 -2.344618e-03 -1.052501e-02 -5.844374e-03 1.564100e-03 2.774523e-03 4.258068e-03 1.269563e-08 9.871880e-09 1.954748e-09
1.147641e-06 1.108941e+02 1.108941e+02 6.323201e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.673822e-10 2.480393e-09 2.875559e-07 -2.432306e-14 4.416792e+02 3.484644e+04 6.504718e+02 -2.543191e-04 -2.350308e-03 -1.055039e-02 -5.859088e-03 1.568039e-03 2.780031e-03 4.258104e-03 1.276017e-08 9.918035e-09 1.963456e-09
1.151082e-06 1.108941e+02 1.108941e+02 6.352202e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.693199e-10 2.492709e-09 2.882882e-07 -2.449962e-14 4.414659e+02 3.481284e+04 6.500417e+02 -2.548336e-04 -2.356013e-03 -1.057583e-02 -5.873838e-03 1.571988e-03 2.785551e-03 4.258140e-03 1.282504e-08 9.964405e-09 1.972202e-09
1.154533e-06 1.108941e+02 1.108941e+02 6.381337e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.712677e-10 2.505085e-09 2.890223e-07 -2.467746e-14 4.412527e+02 3.477927e+04 6.496119e+02 -2.553492e-04 -2.361731e-03 -1.060134e-02 -5.888625e-03 1.575946e-03 2.791081e-03 4.258177e-03 1.289024e-08 1.001099e-08 1.980988e-09
1.157994e-06 1.108941e+02 1.108941e+02 6.410605e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.732259e-10 2.517523e-09 2.897583e-07 -2.485659e-14 4.410396e+02 3.474574e+04 6.491823e+02 -2.558659e-04 -2.367463e-03 -1.062690e-02 -5.903450e-03 1.579915e-03 2.796622e-03 4.258213e-03 1.295578e-08 1.005780e-08 1.989812e-09
1.161466e-06 1.108941e+02 1.108941e+02 6.440007e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.751944e-10 2.530023e-09 2.904960e-07 -2.503702e-14 4.408266e+02 3.471224e+04 6.487531e+02 -2.563836e-04 -2.373210e-03 -1.065253e-02 -5.918312e-03 1.583894e-03 2.802175e-03 4.258249e-03 1.302164e-08 1.010482e-08 1.998675e-09
1.164948e-06 1.108941e+02 1.108941e+02 6.469544e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.771732e-10 2.542585e-09 2.912356e-07 -2.521876e-14 4.406138e+02 3.467877e+04 6.483241e+02 -2.569023e-04 -2.378970e-03 -1.067822e-02 -5.933211e-03 1.587883e-03 2.807738e-03 4.258286e-03 1.308784e-08 1.015207e-08 2.007578e-09
1.168441e-06 1.108941e+02 1.108941e+02 6.499216e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.791625e-10 2.555209e-09 2.919770e-07 -2.540182e-14 4.404010e+02 3.464533e+04 6.478955e+02 -2.574221e-04 -2.384744e-03 -1.070397e-02 -5.948148e-03 1.591882e-03 2.813312e-03 4.258322e-03 1.315438e-08 1.019953e-08 2.016520e-09
1.171944e-06 1.108941e+02 1.108941e+02 6.529025e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.811623e-10 2.567896e-09 2.927202e-07 -2.558621e-14 4.401883e+02 3.461193e+04 6.474671e+02 -2.579429e-04 -2.390532e-03 -1.072978e-02 -5.963122e-03 1.595890e-03 2.818898e-03 4.258358e-03 1.322125e-08 1.024722e-08 2.025501e-09
1.175458e-06 1.108941e+02 1.108941e+02 6.558970e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.831726e-10 2.580646e-09 2.934652e-07 -2.577194e-14 4.399757e+02 3.457855e+04 6.470390e+02 -2.584648e-04 -2.396334e-03 -1.075566e-02 -5.978135e-03 1.599909e-03 2.824494e-03 4.258394e-03 1.328847e-08 1.029513e-08 2.034522e-09
1.178982e-06 1.108941e+02 1.108941e+02 6.589053e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.851936e-10 2.593459e-09 2.942121e-07 -2.595901e-14 4.397632e+02 3.454521e+04 6.466112e+02 -2.589878e-04 -2.402150e-03 -1.078160e-02 -5.993184e-03 1.603939e-03 2.830102e-03 4.258431e-03 1.335602e-08 1.034327e-08 2.043584e-09
1.182517e-06 1.108941e+02 1.108941e+02 6.619273e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.872252e-10 2.606336e-09 2.949608e-07 -2.614745e-14 4.395508e+02 3.451191e+04 6.461836e+02 -2.595118e-04 -2.407981e-03 -1.080760e-02 -6.008272e-03 1.607978e-03 2.835720e-03 4.258467e-03 1.342392e-08 1.039162e-08 2.052685e-09
1.186062e-06 1.108941e+02 1.108941e+02 6.649632e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.892675e-10 2.619277e-09 2.957114e-07 -2.633725e-14 4.393386e+02 3.447863e+04 6.457564e+02 -2.600369e-04 -2.413825e-03 -1.083366e-02 -6.023398e-03 1.612027e-03 2.841350e-03 4.258503e-03 1.349217e-08 1.044021e-08 2.061827e-09
1.189618e-06 1.108941e+02 1.108941e+02 6.680131e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.913206e-10 2.632282e-09 2.964638e-07 -2.652843e-14 4.391264e+02 3.444539e+04 6.453294e+02 -2.605630e-04 -2.419684e-03 -1.085978e-02 -6.038562e-03 1.616087e-03 2.846991e-03 4.258540e-03 1.356076e-08 1.048902e-08 2.071009e-09
1.193185e-06 1.108941e+02 1.108941e+02 6.710769e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.933845e-10 2.645351e-09 2.972180e-07 -2.672099e-14 4.389143e+02 3.441217e+04 6.449027e+02 -2.610902e-04 -2.425557e-03 -1.088597e-02 -6.053764e-03 1.620157e-03 2.852643e-03 4.258576e-03 1.362970e-08 1.053806e-08 2.080232e-09
1.196762e-06 1.108941e+02 1.108941e+02 6.741548e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.954593e-10 2.658486e-09 2.979742e-07 -2.691496e-14 4.387024e+02 3.437899e+04 6.444763e+02 -2.616184e-04 -2.431444e-03 -1.091223e-02 -6.069004e-03 1.624237e-03 2.858307e-03 4.258612e-03 1.369899e-08 1.058733e-08 2.089496e-09
1.200350e-06 1.108941e+02 1.108941e+02 6.772468e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.975450e-10 2.671685e-09 2.987321e-07 -2.711033e-14 4.384905e+02 3.434585e+04 6.440502e+02 -2.621478e-04 -2.437345e-03 -1.093854e-02 -6.084283e-03 1.628327e-03 2.863981e-03 4.258649e-03 1.376864e-08 1.063684e-08 2.098800e-09
1.203949e-06 1.108941e+02 1.108941e+02 6.803530e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.996418e-10 2.684950e-09 2.994920e-07 -2.730712e-14 4.382787e+02 3.431273e+04 6.436243e+02 -2.626782e-04 -2.443261e-03 -1.096492e-02 -6.099600e-03 1.632428e-03 2.869667e-03 4.258685e-03 1.383864e-08 1.068657e-08 2.108146e-09
1.207559e-06 1.108941e+02 1.108941e+02 6.834734e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 4.017496e-10 2.698281e-09 3.002537e-07 -2.750534e-14 4.380671e+02 3.427965e+04 6.431987e+02 -2.632096e-04 -2.449191e-03 -1.099136e-02 -6.114956e-03 1.636539e-03 2.875364e-03 4.258721e-03 1.390899e-08 1.073653e-08 2.117533e-09
1.211179e-06 1.108941e+02 1.108941e+02 6.866082e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 4.038685e-10 2.711679e-09 3.010173e-07 -2.770500e-14 4.378555e+02 3.424659e+04 6.427735e+02 -2.637422e-04 -2.455136e-03 -1.101787e-02 -6.130350e-03 1.640660e-03 2.881073e-03 4.258757e-03 1.397970e-08 1.078673e-08 2.126962e-09
1.214810e-06 1.108941e+02 1.108941e+02 6.897573e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 4.059986e-10 2.725142e-09 3.017828e-07 -2.790611e-14 4.376440e+02 3.421357e+04 6.423485e+02 -2.642758e-04 -2.461095e-03 -1.104444e-02 -6.145784e-03 1.644792e-03 2.886792e-03 4.258794e-03 1.405077e-08 1.083716e-08 2.136433e-09
