# k[h/Mpc]   R1   R2 
# 
1.9438e-03 1.7574e+00 -4.3380e-01
1.9618e-03 1.8044e+00 -4.4532e-01
1.9799e-03 1.8527e+00 -4.5714e-01
1.9983e-03 1.9022e+00 -4.6926e-01
2.0168e-03 1.9530e+00 -4.8170e-01
2.0354e-03 2.0051e+00 -4.9447e-01
2.0543e-03 2.0586e+00 -5.0756e-01
2.0733e-03 2.1135e+00 -5.2100e-01
2.0925e-03 2.1698e+00 -5.3478e-01
2.1118e-03 2.2277e+00 -5.4892e-01
2.1314e-03 2.2870e+00 -5.6342e-01
2.1511e-03 2.3479e+00 -5.7830e-01
2.1710e-03 2.4103e+00 -5.9356e-01
2.1911e-03 2.4744e+00 -6.0921e-01
2.2114e-03 2.5402e+00 -6.2526e-01
2.2319e-03 2.6076e+00 -6.4173e-01
2.2526e-03 2.6769e+00 -6.5862e-01
2.2734e-03 2.7479e+00 -6.7595e-01
2.2945e-03 2.8208e+00 -6.9372e-01
2.3157e-03 2.8955e+00 -7.1194e-01
2.3371e-03 2.9722e+00 -7.3063e-01
2.3588e-03 3.0509e+00 -7.4979e-01
2.3806e-03 3.1317e+00 -7.6945e-01
2.4026e-03 3.2145e+00 -7.8961e-01
2.4249e-03 3.2994e+00 -8.1028e-01
2.4473e-03 3.3866e+00 -8.3147e-01
2.4700e-03 3.4760e+00 -8.5321e-01
2.4929e-03 3.5677e+00 -8.7549e-01
2.5159e-03 3.6618e+00 -8.9835e-01
2.5392e-03 3.7583e+00 -9.2178e-01
2.5627e-03 3.8572e+00 -9.4580e-01
2.5865e-03 3.9587e+00 -9.7043e-01
2.6104e-03 4.0629e+00 -9.9568e-01
2.6346e-03 4.1697e+00 -1.0216e+00
2.6590e-03 4.2792e+00 -1.0481e+00
2.6836e-03 4.3915e+00 -1.0753e+00
2.7084e-03 4.5067e+00 -1.1032e+00
2.7335e-03 4.6249e+00 -1.1318e+00
2.7588e-03 4.7460e+00 -1.1611e+00
2.7843e-03 4.8703e+00 -1.1912e+00
2.8101e-03 4.9977e+00 -1.2220e+00
2.8361e-03 5.1284e+00 -1.2535e+00
2.8624e-03 5.2624e+00 -1.2859e+00
