# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.1809e-01 1.1659e+03 3.8557e+01 7.8263e+00 2.4951e+03 1.2955e+03 6.5715e+01 1.1022e+02 1.1232e+02 -2.5434e+01 -1.2408e+01 1.3103e+02 8.7033e+01 0.0000e+00 0.0000e+00
1.2804e-01 1.0675e+03 3.8756e+01 8.7639e+00 2.3027e+03 1.2008e+03 6.8903e+01 1.0656e+02 1.1597e+02 -2.6389e+01 -1.2950e+01 1.2009e+02 8.1291e+01 0.0000e+00 0.0000e+00
1.3883e-01 9.3406e+02 3.7323e+01 9.9305e+00 2.0357e+03 1.0677e+03 7.1950e+01 1.0271e+02 1.1917e+02 -2.7107e+01 -1.3356e+01 1.0976e+02 7.5761e+01 0.0000e+00 0.0000e+00
1.5052e-01 7.8470e+02 3.4599e+01 1.1014e+01 1.7321e+03 9.1486e+02 7.4107e+01 9.8696e+01 1.2119e+02 -2.7396e+01 -1.3524e+01 1.0008e+02 7.0407e+01 0.0000e+00 0.0000e+00
1.6320e-01 6.6824e+02 3.2366e+01 1.1671e+01 1.4945e+03 7.9526e+02 7.5108e+01 9.4543e+01 1.2180e+02 -2.7311e+01 -1.3493e+01 9.0931e+01 6.5268e+01 0.0000e+00 0.0000e+00
1.7694e-01 5.9713e+02 3.1415e+01 1.1984e+01 1.3507e+03 7.2323e+02 7.5563e+01 9.0290e+01 1.2168e+02 -2.7095e+01 -1.3392e+01 8.2232e+01 6.0412e+01 0.0000e+00 0.0000e+00
1.9185e-01 5.3505e+02 3.0444e+01 1.2299e+01 1.2251e+03 6.6057e+02 7.6051e+01 8.5957e+01 1.2138e+02 -2.6853e+01 -1.3271e+01 7.4075e+01 5.5844e+01 0.0000e+00 0.0000e+00
2.0801e-01 4.5649e+02 2.8231e+01 1.2636e+01 1.0624e+03 5.7789e+02 7.6142e+01 8.1563e+01 1.2045e+02 -2.6428e+01 -1.3041e+01 6.6580e+01 5.1502e+01 0.0000e+00 0.0000e+00
2.2553e-01 3.8692e+02 2.5963e+01 1.2722e+01 9.1643e+02 5.0330e+02 7.5283e+01 7.7143e+01 1.1837e+02 -2.5719e+01 -1.2656e+01 5.9693e+01 4.7384e+01 0.0000e+00 0.0000e+00
2.4453e-01 3.3994e+02 2.4474e+01 1.2590e+01 8.1759e+02 4.5291e+02 7.3929e+01 7.2735e+01 1.1566e+02 -2.4888e+01 -1.2206e+01 5.3326e+01 4.3531e+01 0.0000e+00 0.0000e+00
2.6512e-01 2.9477e+02 2.2740e+01 1.2412e+01 7.2145e+02 4.0349e+02 7.2424e+01 6.8359e+01 1.1266e+02 -2.4031e+01 -1.1735e+01 4.7505e+01 3.9924e+01 0.0000e+00 0.0000e+00
2.8746e-01 2.5077e+02 2.0746e+01 1.2120e+01 6.2616e+02 3.5404e+02 7.0389e+01 6.4044e+01 1.0901e+02 -2.3043e+01 -1.1190e+01 4.2235e+01 3.6536e+01 0.0000e+00 0.0000e+00
3.1167e-01 2.1723e+02 1.9103e+01 1.1706e+01 5.5259e+02 3.1570e+02 6.7976e+01 5.9818e+01 1.0490e+02 -2.1976e+01 -1.0603e+01 3.7450e+01 3.3383e+01 0.0000e+00 0.0000e+00
3.3792e-01 1.8637e+02 1.7390e+01 1.1225e+01 4.8387e+02 2.7960e+02 6.5366e+01 5.5701e+01 1.0052e+02 -2.0897e+01 -1.0007e+01 3.3135e+01 3.0448e+01 0.0000e+00 0.0000e+00
3.6639e-01 1.5978e+02 1.5752e+01 1.0673e+01 4.2357e+02 2.4765e+02 6.2462e+01 5.1714e+01 9.5804e+01 -1.9770e+01 -9.3857e+00 2.9262e+01 2.7721e+01 0.0000e+00 0.0000e+00
